Column Name,Identified Column,Year
District_x,False,2018-2019
TEA District Type,False,2018-2019
District Type,False,2018-2019
NCES District Type,False,2018-2019
Location of District,False,2018-2019
Charter School (Y/N),False,2018-2019
District_y,False,2018-2019
COUNTY,False,2018-2019
County,False,2018-2019
REGION,False,2018-2019
DFLCHART,False,2018-2019
DFLALTED,False,2018-2019
DAD_POST,False,2018-2019
D_RATING,False,2018-2019
OUTCOME,False,2018-2019
ASVAB_STATUS,False,2018-2019
DPETGEEC,False,2018-2019
DPETGPKC,False,2018-2019
DPETGKNC,False,2018-2019
DPETG01C,False,2018-2019
DPETG02C,False,2018-2019
DPETG03C,False,2018-2019
DPETG04C,False,2018-2019
DPETG05C,False,2018-2019
DPETG06C,False,2018-2019
DPETG07C,False,2018-2019
DPETG08C,False,2018-2019
DPETG09C,False,2018-2019
DPETG10C,False,2018-2019
DPETG11C,False,2018-2019
DPETG12C,False,2018-2019
All Students Count in district,True,2018-2019
DPETSPEC,False,2018-2019
DPETBILC,False,2018-2019
DPETVOCC,False,2018-2019
DPETDSLC,False,2018-2019
DPET504C,False,2018-2019
DPETGIFC,False,2018-2019
DPETLEPC,False,2018-2019
DPETECOC,False,2018-2019
DPETNEDC,False,2018-2019
DPETRSKC,False,2018-2019
DPETINDC,False,2018-2019
DPETASIC,False,2018-2019
DPETPCIC,False,2018-2019
DPETTWOC,False,2018-2019
DPETBLAC,False,2018-2019
DPETHISC,False,2018-2019
DPETWHIC,False,2018-2019
DPETDISD,False,2018-2019
DPETDISC,False,2018-2019
DPETDISP,False,2018-2019
DPETSIMC,False,2018-2019
DPETSINC,False,2018-2019
DPETSPHC,False,2018-2019
DPETSBHC,False,2018-2019
DPETSAUC,False,2018-2019
DPETSNOC,False,2018-2019
DPETSINP,False,2018-2019
DPETSPHP,False,2018-2019
DPETSBHP,False,2018-2019
DPETSAUP,False,2018-2019
DPETSNOP,False,2018-2019
DPERRAKR,False,2018-2019
DPERRA1R,False,2018-2019
DPERRA2R,False,2018-2019
DPERRA3R,False,2018-2019
DPERRA4R,False,2018-2019
DPERRA5R,False,2018-2019
DPERRA6R,False,2018-2019
DPERRA7R,False,2018-2019
DPERRA8R,False,2018-2019
DPERRA9R,False,2018-2019
DPERSAKR,False,2018-2019
DPERSA1R,False,2018-2019
DPERSA2R,False,2018-2019
DPERSA3R,False,2018-2019
DPERSA4R,False,2018-2019
DPERSA5R,False,2018-2019
DPERSA6R,False,2018-2019
DPERSA7R,False,2018-2019
DPERSA8R,False,2018-2019
DPERSA9R,False,2018-2019
DAUND18C,False,2018-2019
DAUND18D,False,2018-2019
DAUND18R,False,2018-2019
DPEMALLC,False,2018-2019
DPEMALLT,False,2018-2019
DPEMALLP,False,2018-2019
White Student Percent,True,2018-2019
African American Student Percent,True,2018-2019
Hispanic Student Percent,True,2018-2019
American Indian Student Percent,True,2018-2019
Asian American Student Percent,True,2018-2019
Pacific Islander Student Percent,True,2018-2019
Two or More Races Student Percent,True,2018-2019
Economically Disadvantaged Student Percent,True,2018-2019
DPETNEDP,False,2018-2019
DPETRSKP,False,2018-2019
DPETLEPP,False,2018-2019
Special Education Student Percent,True,2018-2019
DPETVOCP,False,2018-2019
Bilingual & ESL Student Percent,True,2018-2019
Gifted & Talented Student Percent,True,2018-2019
DPETDSLP,False,2018-2019
DPET504P,False,2018-2019
DPETGEEP,False,2018-2019
DPETGPKP,False,2018-2019
DPETGKNP,False,2018-2019
DPETG01P,False,2018-2019
DPETG02P,False,2018-2019
DPETG03P,False,2018-2019
DPETG04P,False,2018-2019
DPETG05P,False,2018-2019
DPETG06P,False,2018-2019
DPETG07P,False,2018-2019
DPETG08P,False,2018-2019
DPETG09P,False,2018-2019
DPETG10P,False,2018-2019
DPETG11P,False,2018-2019
DPETG12P,False,2018-2019
DPSTTOFC,False,2018-2019
DPSUTOFC,False,2018-2019
DPSSTOFC,False,2018-2019
DPSCTOFC,False,2018-2019
DPSETOFC,False,2018-2019
DPSTTOST,False,2018-2019
DPSUTOST,False,2018-2019
DPSSTOST,False,2018-2019
DPSCTOST,False,2018-2019
DPST00FC,False,2018-2019
DPST01FC,False,2018-2019
DPST06FC,False,2018-2019
DPST11FC,False,2018-2019
DPST20FC,False,2018-2019
DPST00ST,False,2018-2019
DPST01ST,False,2018-2019
DPST06ST,False,2018-2019
DPST11ST,False,2018-2019
DPST20ST,False,2018-2019
DPSTNOFC,False,2018-2019
DPSTBAFC,False,2018-2019
DPSTMSFC,False,2018-2019
DPSTPHFC,False,2018-2019
DPSPCOFC,False,2018-2019
DPSECOFC,False,2018-2019
DPSPTOFC,False,2018-2019
DPSRTOPC,False,2018-2019
DPSRTOFC,False,2018-2019
DPSBTOPC,False,2018-2019
DPSBTOFC,False,2018-2019
DPSXTOFC,False,2018-2019
DPSATOFC,False,2018-2019
DPSOTOFC,False,2018-2019
DPSTINFC,False,2018-2019
DPSTPIFC,False,2018-2019
DPSTASFC,False,2018-2019
DPSTBLFC,False,2018-2019
DPSTHIFC,False,2018-2019
DPSTWHFC,False,2018-2019
DPSTTWFC,False,2018-2019
DPSTMAFC,False,2018-2019
DPSTFEFC,False,2018-2019
DPSXCOFC,False,2018-2019
DPSTREFC,False,2018-2019
DPSTVOFC,False,2018-2019
DPSTBIFC,False,2018-2019
DPSTCOFC,False,2018-2019
DPSTGIFC,False,2018-2019
DPSTSPFC,False,2018-2019
DPSTOPFC,False,2018-2019
