distname,district_id,county,dflchart,dflalted,asvab_status,tea description,nces description,charter school (y/n),tea district type,nces district type,region,cntyname,district 2023 staff: teacher student ratio,district 2022-23 total students count,district 2023 staff: all staff total full time equiv count,district 2022-23 african american students percent,district 2022-23 american indian students percent,district 2022-23 asian students percent,district 2022-23 hispanic students percent,district 2022-23 pacific islander students percent,district 2022-23 white students percent,district 2022-23 two or more races students percent,district 2022-23 economically disadvantaged students percent,district 2022-23 title i students percent,district 2022-23 special education students percent,district 2022-23 section 504 students percent,district 2022-23 bilingual/esl education students percent,district 2022-23 emergent bilingual/english learner students percent,district 2022-23 homeless students percent,district 2022-23 immigrant students percent,district 2022-23 migrant students percent,district 2022-23 military connected students percent,district 2022-23 foster care students percent,district 2022-23 gifted & talented education students percent
CAYUGA ISD,1902,'001,N,N, ,Rural,Rural-Remote,N,H,43,'07,ANDERSON,12.3,594.0,102.0,4.7,0.0,0.5,9.4,0.0,80.8,4.5,49.7,100.0,14.1,10.4,1.3,1.3,0.0,0.0,0.0,2.0,0.7,5.1
ELKHART ISD,1903,'001,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'07,ANDERSON,11.4,1194.0,189.0,4.0,0.3,0.5,11.3,0.1,79.3,4.5,59.0,99.7,13.7,5.6,2.9,2.9,2.0,0.0,0.0,3.0,0.5,4.7
FRANKSTON ISD,1904,'001,N,N,ASVAB Alternative Test Offered,Rural,Rural-Distant,N,H,42,'07,ANDERSON,11.8,802.0,141.7,8.0,0.6,0.9,11.3,0.0,75.1,4.1,58.9,100.0,14.6,9.4,4.4,4.4,1.4,0.0,0.0,3.9,0.7,6.5
NECHES ISD,1906,'001,N,N, ,Rural,Rural-Distant,N,H,42,'07,ANDERSON,11.0,310.0,62.2,7.4,0.3,0.3,12.6,0.0,77.1,2.3,56.1,99.7,12.3,9.7,1.9,2.3,0.3,0.0,0.0,16.1,1.0,7.1
PALESTINE ISD,1907,'001,N,N, ,Independent Town,Town-Distant,N,E,32,'07,ANDERSON,13.1,3297.0,561.6,24.5,0.2,0.7,43.2,0.1,27.5,3.9,80.4,100.0,14.9,6.9,15.9,17.5,0.2,1.2,0.0,2.0,0.4,1.9
WESTWOOD ISD,1908,'001,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'07,ANDERSON,13.3,1414.0,253.3,21.1,0.7,0.4,26.9,0.1,45.8,5.1,74.5,54.7,15.8,8.0,7.1,7.5,0.8,0.8,0.2,0.4,0.6,3.8
SLOCUM ISD,1909,'001,N,N, ,Rural,Rural-Remote,N,H,43,'07,ANDERSON,9.3,349.0,68.6,0.0,0.0,0.6,6.9,0.0,89.4,3.2,51.3,99.7,16.3,5.7,1.4,1.4,1.1,0.0,0.0,2.9,0.0,2.6
ANDREWS ISD,2901,'002,N,N,ASVAB Alternative Test Offered,Other Central City Suburban,Town-Distant,N,D,32,'18,ANDREWS,14.6,4198.0,585.1,0.4,0.4,0.5,70.0,0.0,27.1,1.7,49.4,98.8,13.1,8.8,16.5,15.8,1.6,0.4,0.0,2.4,0.8,6.9
PINEYWOODS COMMUNITY ACADEMY,3801,'003,Y,N, ,Charter Schools,Town-Remote,Y,I,33,'07,ANGELINA,14.6,997.0,141.7,14.5,0.2,1.1,33.2,0.6,46.8,3.5,61.2,99.9,12.6,8.6,6.2,6.2,0.7,0.0,0.0,0.8,0.5,9.7
HUDSON ISD,3902,'003,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'07,ANGELINA,12.8,2768.0,433.8,7.1,0.3,1.1,27.4,0.1,60.4,3.5,54.0,99.7,13.8,9.1,6.5,7.2,0.4,0.4,0.1,5.7,0.3,6.3
LUFKIN ISD,3903,'003,N,N, ,Independent Town,Town-Remote,N,E,33,'07,ANGELINA,12.6,7164.0,1317.2,28.1,0.1,1.0,43.4,0.1,24.1,3.2,87.1,49.7,13.8,9.5,23.7,21.3,3.7,0.0,0.0,1.2,0.3,12.8
HUNTINGTON ISD,3904,'003,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'07,ANGELINA,12.9,1593.0,270.9,3.1,0.3,0.1,7.1,0.1,85.9,3.3,59.1,100.0,18.0,9.7,1.2,1.3,0.4,0.0,0.0,0.7,0.4,4.4
DIBOLL ISD,3905,'003,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'07,ANGELINA,11.9,1669.0,310.3,12.4,0.1,0.4,52.4,0.0,32.4,2.4,68.0,99.7,12.9,7.7,14.7,15.1,1.4,0.0,0.0,0.1,0.4,3.5
ZAVALLA ISD,3906,'003,N,N, ,Rural,Rural-Remote,N,H,43,'07,ANGELINA,8.8,323.0,61.7,0.3,0.0,0.0,2.2,0.0,94.4,3.1,70.3,100.0,17.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.8
CENTRAL ISD,3907,'003,N,N, ,Non-metropolitan Stable,Rural-Fringe,N,G,41,'07,ANGELINA,13.0,1463.0,258.7,3.7,0.0,0.0,22.6,0.0,70.8,2.9,63.7,100.0,16.4,8.6,5.3,5.5,0.0,0.1,0.0,4.2,0.1,6.0
