,District 2023 Class Size: Sec Soc Stud- Avg Size,District 2023 Class Size: Sec Sci     - Avg Size,District 2023 Class Size: Sec Math    - Avg Size,District 2023 Class Size: Kindergarten- Avg Size,District 2023 Class Size: Grade 6     - Avg Size,District 2023 Class Size: Grade 5     - Avg Size,District 2023 Class Size: Grade 4     - Avg Size,District 2023 Class Size: Grade 3     - Avg Size,District 2023 Class Size: Grade 2     - Avg Size,District 2023 Class Size: Grade 1     - Avg Size,District 2023 Class Size: Sec For Lng - Avg Size,District 2023 Class Size: Sec English - Avg Size,District 2023 Staff: Teacher Student Ratio,District 2023 Student Membership: 2022 Mobility All Students Percent,District 2023 Student Membership: 2022 Mobility White Percent,District 2023 Student Membership: 2022 Mobility Hispanic Percent,District 2023 Student Membership: 2022 Mobility African American Percent,District 2023 Student Membership: 2022 Mobility Asian Percent,District 2023 Student Membership: 2022 Mobility American Indian Percent,District 2023 Student Membership: 2022 Mobility Pacific Islander Percent,District 2023 Student Membership: 2022 Mobility Two or More Races Percent,District 2023 Student Membership: 2022 Mobility Econ Disadv Percent,District 2023 Student Membership: 2022 Mobility EB/EL Percent,District 2023 Student Membership: 2022 Mobility Special Ed Percent,District 2022 Underreported Students: Rate,District 2023 Staff: Teacher Total Full Time Equiv Percent,District 2023 Staff: Support Total Full Time Equiv Percent,District 2023 Staff: School Admin Total Full Time Equiv Percent,District 2023 Staff: Central Admin Total Full Time Equiv Percent,District 2023 Staff: Educ Aide Total Full Time Equiv Percent,District 2023 Staff: Auxiliary Total Full Time Equiv Percent,District 2023 Staff: All Staff Minority Full Time Equiv Percent,District 2023 Staff: Teacher No Degree Full Time Equiv Percent,District 2023 Staff: Teacher BA Degree Full Time Equiv Percent,District 2023 Staff: Teacher MS Degree Full Time Equiv Percent,District 2023 Staff: Teacher PH Degree Full Time Equiv Percent,District 2023 Staff: Teacher Beginning Full Time Equiv Percent,District 2023 Staff: Teacher 1-5 Years Full Time Equiv Percent,District 2023 Staff: Teacher 6-10 Years Full Time Equiv Percent,District 2023 Staff: Teacher 11-20 Years Full Time Equiv Percent,District 2023 Staff: Teacher 21-30 Years Full Time Equiv Percent,District 2023 Staff: Teacher > 30 Years Full Time Equiv Percent,District 2023 Staff: Teacher Turnover Ratio,District 2023 Staff: Teacher Experience Average,District 2023 Staff: Principal Experience Average,District 2023 Staff: Principal Tenure Average,District 2023 Staff: Assistant Principal Experience Average,District 2023 Staff: Assistant Principal Tenure Average,District 2022-23 African American Students Percent,District 2022-23 American Indian Students Percent,District 2022-23 Asian Students Percent,District 2022-23 Hispanic Students Percent,District 2022-23 Pacific Islander Students Percent,District 2022-23 White Students Percent,District 2022-23 Two or More Races Students Percent,District 2022-23 Economically Disadvantaged Students Percent,District 2022-23 Non-Educationally Disadvantaged Students Percent,District 2022-23 At-Risk Students Percent,District 2022-23 Special Education Students Percent,District 2022-23 Section 504 Students Percent,District 2022-23 Students with Dyslexia Percent,District 2022-23 Bilingual/ESL Education Students Percent,District 2022-23 Emergent Bilingual/English Learner Students Percent,District 2022-23 Male Students Percent,District 2022-23 Female Students Percent,District 2022-23 Kindergarten Students Percent,District 2022-23 Grade 1 Students Percent,District 2022-23 Grade 2 Students Percent,District 2022-23 Grade 3 Students Percent,District 2022-23 Grade 4 Students Percent,District 2022-23 Grade 5 Students Percent,District 2022-23 Grade 6 Students Percent,District 2022-23 Grade 7 Students Percent,District 2022-23 Grade 8 Students Percent,District 2022-23 Grade 9 Students Percent,District 2022-23 Grade 10 Students Percent,District 2022-23 Grade 11 Students Percent,District 2022-23 Grade 12 Students Percent,District 2022-23 Homeless Students Percent,District 2022-23 Immigrant Students Percent,District 2022-23 Migrant Students Percent,District 2022-23 Military Connected Students Percent,District 2022-23 Foster Care Students Percent,DISTRICT_id,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),COUNTY,REGION,DISTRICT,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,ASVAB_STATUS
0,15.5,13.0,13.7,15.0,16.2,17.5,11.5,14.5,19.5,14.8,8.8,9.4,12.3,12.1,8.9,2.1,0.7,0.2,0.0,0.0,0.2,17.8,14.3,13.0,0.0,47.5,6.2,3.6,1.5,16.2,25.1,12.5,0.0,78.7,21.3,0.0,3.8,12.1,18.5,31.4,28.2,6.0,14.7,14.5,10.3,8.0,0.0,0.0,4.7,0.0,0.5,9.4,0.0,80.8,4.5,49.7,50.3,39.9,14.1,10.4,7.6,1.3,1.3,52.4,47.6,7.6,7.6,6.7,5.7,6.7,6.1,8.4,8.8,10.8,8.9,6.1,7.1,6.7,0.0,0.0,0.0,2.0,0.7,1902,H,Rural,43,Rural-Remote,N,'001,'07,'001902,CAYUGA ISD,ANDERSON,N,N, 
1,10.1,13.3,9.4,17.0,13.8,20.8,17.3,16.2,16.1,17.8,13.9,12.2,11.4,16.1,11.2,2.2,0.9,0.2,0.0,0.1,1.6,16.5,20.0,18.9,0.9,55.3,5.2,2.4,1.1,16.7,19.3,13.2,3.8,81.3,13.9,1.0,8.6,17.2,17.3,35.4,17.6,3.8,17.1,13.1,4.5,4.5,1.0,1.0,4.0,0.3,0.5,11.3,0.1,79.3,4.5,59.0,41.0,29.5,13.7,5.6,5.9,2.9,2.9,51.6,48.4,7.4,8.0,7.1,7.3,7.3,9.0,7.0,7.6,8.0,7.5,7.0,6.6,5.2,2.0,0.0,0.0,3.0,0.5,1903,G,Non-metropolitan Stable,42,Rural-Distant,N,'001,'07,'001903,ELKHART ISD,ANDERSON,N,N, 
2,15.0,16.3,14.8,20.0,13.4,14.5,20.4,19.4,18.9,16.0,13.5,14.4,11.8,11.6,8.7,1.1,1.2,0.0,0.0,0.0,0.6,13.0,8.8,11.5,0.0,48.0,1.9,4.0,1.4,16.0,28.7,11.8,4.3,75.5,20.2,0.0,3.4,32.5,22.5,19.1,18.1,4.4,24.5,11.3,5.3,5.0,2.8,2.8,8.0,0.6,0.9,11.3,0.0,75.1,4.1,58.9,41.1,36.2,14.6,9.4,7.4,4.4,4.4,53.0,47.0,7.7,6.0,7.2,7.7,8.1,5.6,6.6,7.9,8.5,8.9,8.6,6.4,6.7,1.4,0.0,0.0,3.9,0.7,1904,H,Rural,42,Rural-Distant,N,'001,'07,'001904,FRANKSTON ISD,ANDERSON,N,N,ASVAB Alternative Test Offered
3,8.1,13.5,9.8,18.0,11.0,11.5,20.0,18.0,14.5,21.0,,6.9,11.0,19.5,15.2,1.2,2.1,0.0,0.0,0.0,0.9,20.3,0.0,24.4,0.6,45.1,3.2,8.0,3.3,16.9,23.4,18.8,0.0,92.8,7.2,0.0,7.0,6.9,24.0,27.6,24.6,10.0,20.4,15.9,11.7,11.0,2.0,2.0,7.4,0.3,0.3,12.6,0.0,77.1,2.3,56.1,43.9,33.5,12.3,9.7,3.2,1.9,2.3,50.3,49.7,5.8,6.8,9.4,5.8,6.5,7.4,7.1,7.7,5.8,8.1,9.4,6.5,7.7,0.3,0.0,0.0,16.1,1.0,1906,H,Rural,42,Rural-Distant,N,'001,'07,'001906,NECHES ISD,ANDERSON,N,N, 
4,17.4,18.3,18.0,18.9,20.0,24.0,19.5,18.9,18.8,20.7,18.9,14.5,13.1,13.2,4.9,3.2,3.7,0.1,0.0,0.1,1.3,12.8,6.9,15.6,0.0,44.8,8.6,3.4,2.2,20.8,20.3,34.5,1.4,83.8,14.3,0.4,9.5,24.2,16.0,31.6,8.2,10.5,21.9,12.4,7.0,5.7,5.5,4.3,24.5,0.2,0.7,43.2,0.1,27.5,3.9,80.4,19.6,54.9,14.9,6.9,3.6,15.9,17.5,53.1,46.9,6.5,7.6,6.7,6.8,7.2,6.7,6.5,6.9,8.1,8.4,8.1,7.3,6.5,0.2,1.2,0.0,2.0,0.4,1907,E,Independent Town,32,Town-Distant,N,'001,'07,'001907,PALESTINE ISD,ANDERSON,N,N, 
5,19.6,17.1,14.3,15.7,25.0,22.3,20.4,21.6,19.1,20.6,22.0,15.2,13.3,16.6,6.9,4.0,3.9,0.2,0.3,0.1,1.2,16.5,8.8,20.9,0.0,41.9,5.5,3.9,1.2,20.5,27.0,29.6,1.0,78.8,20.2,0.0,19.9,20.0,18.7,24.1,11.7,5.7,43.0,10.6,7.5,7.0,1.5,1.5,21.1,0.7,0.4,26.9,0.1,45.8,5.1,74.5,25.5,51.4,15.8,8.0,5.4,7.1,7.5,51.5,48.5,6.8,7.4,5.4,7.9,7.3,6.5,7.2,6.9,7.6,9.1,8.0,7.6,6.3,0.8,0.8,0.2,0.4,0.6,1908,G,Non-metropolitan Stable,32,Town-Distant,N,'001,'07,'001908,WESTWOOD ISD,ANDERSON,N,N, 
6,14.9,11.3,10.8,17.0,10.2,12.5,14.0,17.5,7.2,9.5,12.0,13.3,9.3,15.3,13.2,1.8,0.0,0.0,0.0,0.0,0.3,14.0,0.0,14.0,0.0,54.8,6.7,3.4,2.9,8.4,23.7,2.9,3.7,81.3,15.0,0.0,9.0,10.6,17.0,26.6,34.2,2.7,12.6,15.0,10.3,10.3,0.0,0.0,0.0,0.0,0.6,6.9,0.0,89.4,3.2,51.3,48.7,32.4,16.3,5.7,6.0,1.4,1.4,46.7,53.3,9.7,5.4,6.0,5.7,9.2,8.3,7.7,8.6,6.0,6.6,7.4,5.4,7.2,1.1,0.0,0.0,2.9,0.0,1909,H,Rural,43,Rural-Remote,N,'001,'07,'001909,SLOCUM ISD,ANDERSON,N,N, 
7,17.9,19.0,18.2,14.4,16.7,22.1,20.8,18.3,19.4,20.2,20.6,15.8,14.6,10.9,2.8,7.4,0.3,0.0,0.1,0.0,0.3,13.1,11.2,12.7,0.1,49.0,5.8,2.9,1.5,17.2,23.7,42.6,0.7,74.7,24.2,0.3,4.9,20.6,22.2,29.9,18.3,4.2,16.1,13.3,5.3,4.3,4.1,2.9,0.4,0.4,0.5,70.0,0.0,27.1,1.7,49.4,50.6,47.8,13.1,8.8,8.7,16.5,15.8,51.5,48.5,7.5,8.1,8.1,7.0,8.0,7.4,7.2,7.0,7.7,8.1,8.0,6.6,6.2,1.6,0.4,0.0,2.4,0.8,2901,D,Other Central City Suburban,32,Town-Distant,N,'002,'18,'002901,ANDREWS ISD,ANDREWS,N,N,ASVAB Alternative Test Offered
9,17.9,18.6,17.5,19.0,19.4,21.0,17.9,19.2,17.8,18.2,18.9,17.6,12.8,12.0,6.2,3.1,2.2,0.2,0.2,0.0,0.1,15.7,12.2,16.8,0.0,49.9,6.3,3.9,1.3,8.3,30.4,18.7,0.9,78.6,20.0,0.5,6.5,17.0,26.5,28.6,14.7,6.7,17.1,13.0,5.4,5.4,3.4,2.5,7.1,0.3,1.1,27.4,0.1,60.4,3.5,54.0,46.0,39.6,13.8,9.1,7.8,6.5,7.2,50.3,49.7,7.0,7.2,7.2,7.2,7.4,7.8,7.7,7.4,8.2,7.8,8.3,6.5,6.4,0.4,0.4,0.1,5.7,0.3,3902,G,Non-metropolitan Stable,33,Town-Remote,N,'003,'07,'003902,HUDSON ISD,ANGELINA,N,N, 
10,15.8,17.2,14.1,17.0,19.9,16.8,15.2,16.4,17.9,17.4,14.5,14.2,12.6,16.8,5.4,4.6,5.9,0.1,0.0,0.1,0.7,17.2,8.6,22.4,0.7,42.8,9.4,3.9,1.7,13.8,28.4,42.9,1.5,78.5,20.0,0.0,9.7,29.3,18.7,23.6,14.6,4.1,22.2,11.3,5.4,5.3,4.9,3.7,28.1,0.1,1.0,43.4,0.1,24.1,3.2,87.1,12.9,66.0,13.8,9.5,8.3,23.7,21.3,51.7,48.3,6.6,7.6,7.5,7.2,6.7,7.6,6.5,7.1,7.2,8.3,8.5,7.3,6.3,3.7,0.0,0.0,1.2,0.3,3903,E,Independent Town,33,Town-Remote,N,'003,'07,'003903,LUFKIN ISD,ANGELINA,N,N, 
