,DATA,NAME,LABEL
0,DISTPROF,DISTRICT,District Number
1,DISTPROF,DPETDISC,District 2020 DAEP: Count
2,DISTPROF,DPETDISD,District 2020 DAEP: Denominator
3,DISTPROF,DPETDISP,District 2020 DAEP: Percent
4,DISTPROF,DPFEIERP,District 2020 Finance: Instructional Expenditures Ratio
5,DISTPROF,DB0GR20N,District 2020 Graduates: African American Count
6,DISTPROF,DB0GR20R,District 2020 Graduates: African American Student Group %
7,DISTPROF,DA0GR20N,District 2020 Graduates: All Students Count (including FHSP)
8,DISTPROF,DA0GR20R,District 2020 Graduates: All Students Group %
9,DISTPROF,DI0GR20N,District 2020 Graduates: American Indian Count
10,DISTPROF,DI0GR20R,District 2020 Graduates: American Indian Student Group %
11,DISTPROF,D30GR20N,District 2020 Graduates: Asian Count
12,DISTPROF,D30GR20R,District 2020 Graduates: Asian Student Group %
13,DISTPROF,DR0GR20N,District 2020 Graduates: At Risk Count
14,DISTPROF,DR0GR20R,District 2020 Graduates: At Risk Student Group %
15,DISTPROF,DL0GR20N,District 2020 Graduates: EL Count
16,DISTPROF,DL0GR20R,District 2020 Graduates: EL Student Group %
17,DISTPROF,DE0GR20N,District 2020 Graduates: Econ Disadv Count
18,DISTPROF,DE0GR20R,District 2020 Graduates: Econ Disadv Student Group %
19,DISTPROF,DA0GN20P,District 2020 Graduates: FHSP No Endorsement All Students % (Profile Only)
20,DISTPROF,DA0GN20N,District 2020 Graduates: FHSP No Endorsement All Students Count
21,DISTPROF,DA0GA20P,District 2020 Graduates: FHSP-DLA All Students % (Profile Only)
22,DISTPROF,DA0GA20N,District 2020 Graduates: FHSP-DLA All Students Count
23,DISTPROF,DA0GE20P,District 2020 Graduates: FHSP-E All Students % (Profile Only)
24,DISTPROF,DA0GE20N,District 2020 Graduates: FHSP-E All Students Count
25,DISTPROF,DH0GR20N,District 2020 Graduates: Hispanic Count
26,DISTPROF,DH0GR20R,District 2020 Graduates: Hispanic Student Group %
27,DISTPROF,DA0GM20P,District 2020 Graduates: Minimum HS PGM All Students % (Profile Only)
28,DISTPROF,DA0GM20N,District 2020 Graduates: Minimum HS PGM All Students Count
29,DISTPROF,D40GR20N,District 2020 Graduates: Pacific Islander Count
30,DISTPROF,D40GR20R,District 2020 Graduates: Pacific Islander Student Group %
31,DISTPROF,DA0GH20P,District 2020 Graduates: RHSP/DAP All Students % (Profile Only)
32,DISTPROF,DA0GH20N,District 2020 Graduates: RHSP/DAP All Students Count
33,DISTPROF,DS0GR20N,District 2020 Graduates: Special Ed Count
34,DISTPROF,DS0GR20R,District 2020 Graduates: Special Ed Student Group %
35,DISTPROF,D20GR20N,District 2020 Graduates: Two or More Races Count
36,DISTPROF,D20GR20R,District 2020 Graduates: Two or More Races Student Group %
37,DISTPROF,DW0GR20N,District 2020 Graduates: White Count
