,DISTRICT_id,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),COUNTY,REGION,DISTRICT,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,ASVAB_STATUS
0,1902,H,Rural,43,Rural-Remote,N,'001,'07,'001902,CAYUGA ISD,ANDERSON,N,N, 
1,1903,G,Non-metropolitan Stable,42,Rural-Distant,N,'001,'07,'001903,ELKHART ISD,ANDERSON,N,N, 
2,1904,H,Rural,42,Rural-Distant,N,'001,'07,'001904,FRANKSTON ISD,ANDERSON,N,N,ASVAB Alternative Test Offered
3,1906,H,Rural,42,Rural-Distant,N,'001,'07,'001906,NECHES ISD,ANDERSON,N,N, 
4,1907,E,Independent Town,32,Town-Distant,N,'001,'07,'001907,PALESTINE ISD,ANDERSON,N,N, 
5,1908,G,Non-metropolitan Stable,32,Town-Distant,N,'001,'07,'001908,WESTWOOD ISD,ANDERSON,N,N, 
6,1909,H,Rural,43,Rural-Remote,N,'001,'07,'001909,SLOCUM ISD,ANDERSON,N,N, 
7,2901,D,Other Central City Suburban,32,Town-Distant,N,'002,'18,'002901,ANDREWS ISD,ANDREWS,N,N,ASVAB Alternative Test Offered
8,3801,I,Charter Schools,33,Town-Remote,Y,'003,'07,'003801,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N, 
9,3902,G,Non-metropolitan Stable,33,Town-Remote,N,'003,'07,'003902,HUDSON ISD,ANGELINA,N,N, 
10,3903,E,Independent Town,33,Town-Remote,N,'003,'07,'003903,LUFKIN ISD,ANGELINA,N,N, 
11,3904,G,Non-metropolitan Stable,42,Rural-Distant,N,'003,'07,'003904,HUNTINGTON ISD,ANGELINA,N,N, 
12,3905,G,Non-metropolitan Stable,33,Town-Remote,N,'003,'07,'003905,DIBOLL ISD,ANGELINA,N,N, 
13,3906,H,Rural,43,Rural-Remote,N,'003,'07,'003906,ZAVALLA ISD,ANGELINA,N,N, 
14,3907,G,Non-metropolitan Stable,41,Rural-Fringe,N,'003,'07,'003907,CENTRAL ISD,ANGELINA,N,N, 
15,4901,E,Independent Town,32,Town-Distant,N,'004,'02,'004901,ARANSAS COUNTY ISD,ARANSAS,N,N, 
16,5901,H,Rural,42,Rural-Distant,N,'005,'09,'005901,ARCHER CITY ISD,ARCHER,N,N, 
17,5902,D,Other Central City Suburban,42,Rural-Distant,N,'005,'09,'005902,HOLLIDAY ISD,ARCHER,N,N, 
18,5904,F,Non-metropolitan Fast Growing,42,Rural-Distant,N,'005,'09,'005904,WINDTHORST ISD,ARCHER,N,N, 
19,6902,H,Rural,42,Rural-Distant,N,'006,'16,'006902,CLAUDE ISD,ARMSTRONG,N,N, 
20,7901,H,Rural,42,Rural-Distant,N,'007,'20,'007901,CHARLOTTE ISD,ATASCOSA,N,N, 
21,7902,G,Non-metropolitan Stable,32,Town-Distant,N,'007,'20,'007902,JOURDANTON ISD,ATASCOSA,N,N, 
22,7904,G,Non-metropolitan Stable,31,Town-Fringe,N,'007,'20,'007904,LYTLE ISD,ATASCOSA,N,N, 
23,7905,E,Independent Town,32,Town-Distant,N,'007,'20,'007905,PLEASANTON ISD,ATASCOSA,N,N, 
24,7906,G,Non-metropolitan Stable,32,Town-Distant,N,'007,'20,'007906,POTEET ISD,ATASCOSA,N,N, 
25,8901,E,Independent Town,32,Town-Distant,N,'008,'06,'008901,BELLVILLE ISD,AUSTIN,N,N, 
26,8902,E,Independent Town,41,Rural-Fringe,N,'008,'06,'008902,SEALY ISD,AUSTIN,N,N, 
27,8903,H,Rural,42,Rural-Distant,N,'008,'06,'008903,BRAZOS ISD,AUSTIN,N,N, 
28,9901,G,Non-metropolitan Stable,33,Town-Remote,N,'009,'17,'009901,MULESHOE ISD,BAILEY,N,N, 
29,10901,H,Rural,43,Rural-Remote,N,'010,'20,'010901,MEDINA ISD,BANDERA,N,N, 
30,10902,G,Non-metropolitan Stable,42,Rural-Distant,N,'010,'20,'010902,BANDERA ISD,BANDERA,N,N, 
31,11901,C,Other Central City,42,Rural-Distant,N,'011,'13,'011901,BASTROP ISD,BASTROP,N,N, 
32,11902,D,Other Central City Suburban,31,Town-Fringe,N,'011,'13,'011902,ELGIN ISD,BASTROP,N,N, 
33,11904,D,Other Central City Suburban,41,Rural-Fringe,N,'011,'13,'011904,SMITHVILLE ISD,BASTROP,N,N, 
34,11905,H,Rural,42,Rural-Distant,N,'011,'13,'011905,MCDADE ISD,BASTROP,N,N, 
35,12901,H,Rural,43,Rural-Remote,N,'012,'09,'012901,SEYMOUR ISD,BAYLOR,N,N, 
36,13801,I,Charter Schools,32,Town-Distant,Y,'013,'02,'013801,ST MARY'S ACADEMY CHARTER SCHOOL,BEE,Y,N, 
37,13901,E,Independent Town,32,Town-Distant,N,'013,'02,'013901,BEEVILLE ISD,BEE,N,N, 
38,13902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N,'013,'02,'013902,PAWNEE ISD,BEE,N,N, 
39,13903,H,Rural,42,Rural-Distant,N,'013,'02,'013903,PETTUS ISD,BEE,N,N, 
