,DISTNAME,DISTRICT_id,District 2022-23 Total Students Count,District 2023 Staff: All Staff Total Full Time Equiv Count,District 2022-23 African American Students Percent,District 2022-23 American Indian Students Percent,District 2022-23 Asian Students Percent,District 2022-23 Hispanic Students Percent,District 2022-23 Pacific Islander Students Percent,District 2022-23 White Students Percent,District 2022-23 Two or More Races Students Percent,District 2022-23 Economically Disadvantaged Students Percent,District 2022-23 Title I Students percent,District 2022-23 Special Education Students Percent,District 2022-23 Section 504 Students Percent,District 2022-23 Bilingual/ESL Education Students Percent,District 2022-23 Emergent Bilingual/English Learner Students Percent,District 2022-23 Homeless Students Percent,District 2022-23 Immigrant Students Percent,District 2022-23 Migrant Students Percent,District 2022-23 Military Connected Students Percent,District 2022-23 Foster Care Students Percent,District 2022-23 Gifted & Talented Education Students Percent,District 2023 Staff: Teacher Student Ratio
0,CAYUGA ISD,1902,594,102.0,4.7,0.0,0.5,9.4,0.0,80.8,4.5,49.7,100.0,14.1,10.4,1.3,1.3,0.0,0.0,0.0,2.0,0.7,5.1,12.3
1,ELKHART ISD,1903,1194,189.0,4.0,0.3,0.5,11.3,0.1,79.3,4.5,59.0,99.7,13.7,5.6,2.9,2.9,2.0,0.0,0.0,3.0,0.5,4.7,11.4
2,FRANKSTON ISD,1904,802,141.7,8.0,0.6,0.9,11.3,0.0,75.1,4.1,58.9,100.0,14.6,9.4,4.4,4.4,1.4,0.0,0.0,3.9,0.7,6.5,11.8
3,NECHES ISD,1906,310,62.2,7.4,0.3,0.3,12.6,0.0,77.1,2.3,56.1,99.7,12.3,9.7,1.9,2.3,0.3,0.0,0.0,16.1,1.0,7.1,11.0
4,PALESTINE ISD,1907,3297,561.6,24.5,0.2,0.7,43.2,0.1,27.5,3.9,80.4,100.0,14.9,6.9,15.9,17.5,0.2,1.2,0.0,2.0,0.4,1.9,13.1
5,WESTWOOD ISD,1908,1414,253.3,21.1,0.7,0.4,26.9,0.1,45.8,5.1,74.5,54.7,15.8,8.0,7.1,7.5,0.8,0.8,0.2,0.4,0.6,3.8,13.3
6,SLOCUM ISD,1909,349,68.6,0.0,0.0,0.6,6.9,0.0,89.4,3.2,51.3,99.7,16.3,5.7,1.4,1.4,1.1,0.0,0.0,2.9,0.0,2.6,9.3
7,ANDREWS ISD,2901,4198,585.1,0.4,0.4,0.5,70.0,0.0,27.1,1.7,49.4,98.8,13.1,8.8,16.5,15.8,1.6,0.4,0.0,2.4,0.8,6.9,14.6
9,HUDSON ISD,3902,2768,433.8,7.1,0.3,1.1,27.4,0.1,60.4,3.5,54.0,99.7,13.8,9.1,6.5,7.2,0.4,0.4,0.1,5.7,0.3,6.3,12.8
10,LUFKIN ISD,3903,7164,1317.2,28.1,0.1,1.0,43.4,0.1,24.1,3.2,87.1,49.7,13.8,9.5,23.7,21.3,3.7,0.0,0.0,1.2,0.3,12.8,12.6
11,HUNTINGTON ISD,3904,1593,270.9,3.1,0.3,0.1,7.1,0.1,85.9,3.3,59.1,100.0,18.0,9.7,1.2,1.3,0.4,0.0,0.0,0.7,0.4,4.4,12.9
12,DIBOLL ISD,3905,1669,310.3,12.4,0.1,0.4,52.4,0.0,32.4,2.4,68.0,99.7,12.9,7.7,14.7,15.1,1.4,0.0,0.0,0.1,0.4,3.5,11.9
13,ZAVALLA ISD,3906,323,61.7,0.3,0.0,0.0,2.2,0.0,94.4,3.1,70.3,100.0,17.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.8,8.8
14,CENTRAL ISD,3907,1463,258.7,3.7,0.0,0.0,22.6,0.0,70.8,2.9,63.7,100.0,16.4,8.6,5.3,5.5,0.0,0.1,0.0,4.2,0.1,6.0,13.0
15,ARANSAS COUNTY ISD,4901,3044,464.9,1.8,0.3,1.9,44.1,0.2,48.8,3.0,68.9,100.0,15.0,10.2,5.7,5.7,8.7,1.2,0.0,1.1,1.1,4.4,14.6
16,ARCHER CITY ISD,5901,493,91.2,1.4,0.8,0.4,13.6,0.0,79.5,4.3,51.3,58.0,16.4,9.1,1.4,1.4,4.9,1.0,0.0,7.3,0.0,5.5,10.4
17,HOLLIDAY ISD,5902,1137,149.6,0.3,0.6,0.2,9.5,0.1,86.1,3.3,22.4,45.0,14.1,11.7,0.6,0.6,0.5,0.0,0.0,4.8,0.8,5.9,13.0
18,WINDTHORST ISD,5904,527,72.3,0.8,0.2,0.6,24.3,0.0,74.0,0.2,40.6,49.7,8.2,12.0,6.5,5.9,0.0,0.2,0.0,2.1,0.0,7.6,14.1
