NAME_x,LABEL_x,NAME_y,TYPE,LENGTH,LABEL_y,Source_URL,Year,NAME_2
DISTRICT,District Number,DISTRICT,Character,6,District Number,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/xplore/ddrop_att.html,2019,DISTRICT
DPSTKIDR,Teacher to Student Ratio,DPSTKIDR,Numeric,8,District 2019 Staff: Teacher Student Ratio,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstaff.html,2019,DPSTKIDR
DPETALLC,All Students Count in district,DPETALLC,Numeric,8,District 2019 Student: All Students Count,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETALLC
DPETBLAP,African American Student Percent,DPETBLAP,Numeric,8,District 2019 Student: African American Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETBLAP
DPETINDP,American Indian Student Percent,DPETINDP,Numeric,8,District 2019 Student: American Indian Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETINDP
DPETASIP,Asian American Student Percent,DPETASIP,Numeric,8,District 2019 Student: Asian Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETASIP
DPETHISP,Hispanic Student Percent,DPETHISP,Numeric,8,District 2019 Student: Hispanic Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETHISP
DPETPCIP,Pacific Islander Student Percent,DPETPCIP,Numeric,8,District 2019 Student: Pacific Islander Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETPCIP
DPETTWOP,Two or More Races Student Percent,DPETTWOP,Numeric,8,District 2019 Student: Two or More Races Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETTWOP
DPETWHIP,White Student Percent,DPETWHIP,Numeric,8,District 2019 Student: White Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETWHIP
DPETECOP,Economically Disadvantaged Student Percent,DPETECOP,Numeric,8,District 2019 Student: Econ Disadv Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETECOP
DPETSPEP,Special Education Student Percent,DPETSPEP,Numeric,8,District 2019 Student: Special Ed Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETSPEP
DPETGIFP,Gifted & Talented Student Percent,DPETGIFP,Numeric,8,District 2019 Student: Gifted & Talented Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETGIFP
DPETBILP,Bilingual & ESL Student Percent,DPETBILP,Numeric,8,District 2019 Student: Bilingual/ESL Percent,https://rptsvr1.tea.texas.gov/perfreport/tapr/2019/download/dstud.html,2019,DPETBILP
