NAME_x,LABEL_x,NAME_y,TYPE,LENGTH,LABEL_y,Source_URL,NAME_2
DISTNAME,District Name,DISTNAME,Character,75,District Name,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DISTNAME
DISTRICT,District Number,DISTRICT,Character,6,District Number,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DISTRICT
DA0AT23R,All Students Attendance Rate,DA0AT21R,Numeric,8,District 2021 Attendance: All Students Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DA0AT23R
DB0AT23R,African American Student Attendance Rate,DB0AT21R,Numeric,8,District 2021 Attendance: African American Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DB0AT23R
DI0AT23R,American Indian Student Attendance Rate,DI0AT21R,Numeric,8,District 2021 Attendance: American Indian Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DI0AT23R
D30AT23R,Asian American Student Attendance Rate,D30AT21R,Numeric,8,District 2021 Attendance: Asian Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,D30AT23R
DH0AT23R,Hispanic Student Attendance Rate,DH0AT21R,Numeric,8,District 2021 Attendance: Hispanic Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DH0AT23R
D40AT23R,Pacific Islander Student Attendance Rate,D40AT21R,Numeric,8,District 2021 Attendance: Pacific Islander Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,D40AT23R
D20AT23R,Two or More Races Student Attendance Rate,D20AT21R,Numeric,8,District 2021 Attendance: Two Or More Races Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,D20AT23R
DW0AT23R,White Student Attendance Rate,DW0AT21R,Numeric,8,District 2021 Attendance: White Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DW0AT23R
DE0AT23R,Economically Disadvantaged Student Attendance Rate,DE0AT21R,Numeric,8,District 2021 Attendance: Econ Disadv Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DE0AT23R
DS0AT23R,Special Education Student Attendance Rate,DS0AT21R,Numeric,8,District 2021 Attendance: Special Ed Rate,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DS0AT23R
