,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),2018-19 District Enrollment,Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on TEA Definition (Yes/No),"Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on NCES Definition and Enrollment <5,000 (Yes/No)"
0,A W BROWN LEADERSHIP ACADEMY,57816,I,Charter School Districts,11.0,City-Large,Y,2084,No,No
1,A+ ACADEMY,57829,I,Charter School Districts,11.0,City-Large,Y,1409,No,No
2,A+ UNLIMITED POTENTIAL,101871,I,Charter School Districts,11.0,City-Large,Y,180,No,No
3,ABBOTT ISD,109901,H,Rural,42.0,Rural-Distant,N,277,Yes,Yes
4,ABERNATHY ISD,95901,H,Rural,31.0,Town-Fringe,N,780,Yes,No
5,ABILENE ISD,221901,C,Other Central City,12.0,City-Midsize,N,16645,No,No
6,ACADEMY FOR ACADEMIC EXCELLENCE,57814,I,Charter School Districts,11.0,City-Large,Y,505,No,No
7,ACADEMY ISD,14901,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,1652,No,Yes
8,ACADEMY OF ACCELERATED LEARNING IN,101810,I,Charter School Districts,11.0,City-Large,Y,742,No,No
9,ACADEMY OF DALLAS,57810,I,Charter School Districts,11.0,City-Large,Y,487,No,No
10,ACCELERATED INTERMEDIATE ACADEMY,101849,I,Charter School Districts,11.0,City-Large,Y,248,No,No
11,ADRIAN ISD,180903,H,Rural,43.0,Rural-Remote,N,117,Yes,Yes
12,ADVANTAGE ACADEMY,57806,I,Charter School Districts,21.0,Suburb-Large,Y,1689,No,No
13,AGUA DULCE ISD,178901,H,Rural,42.0,Rural-Distant,N,346,Yes,Yes
14,ALAMO HEIGHTS ISD,15901,B,Major Suburban,11.0,City-Large,N,4864,No,No
15,ALBA-GOLDEN ISD,250906,H,Rural,42.0,Rural-Distant,N,900,Yes,Yes
16,ALBANY ISD,209901,H,Rural,43.0,Rural-Remote,N,495,Yes,Yes
17,ALDINE ISD,101902,B,Major Suburban,21.0,Suburb-Large,N,66854,No,No
18,ALEDO ISD,184907,B,Major Suburban,31.0,Town-Fringe,N,6129,No,No
19,ALICE ISD,125901,E,Independent Town,32.0,Town-Distant,N,4940,No,No
20,ALIEF ISD,101903,B,Major Suburban,11.0,City-Large,N,45436,No,No
21,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,I,Charter School Districts,11.0,City-Large,Y,305,No,No
22,ALLEN ISD,43901,D,Other Central City Suburban,21.0,Suburb-Large,N,21557,No,No
23,ALPINE ISD,22901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1014,No,No
24,ALTO ISD,37901,H,Rural,42.0,Rural-Distant,N,664,Yes,Yes
25,ALVARADO ISD,126901,D,Other Central City Suburban,41.0,Rural-Fringe,N,3635,No,Yes
26,ALVIN ISD,20901,B,Major Suburban,21.0,Suburb-Large,N,25945,No,No
27,ALVORD ISD,249901,H,Rural,42.0,Rural-Distant,N,727,Yes,Yes
28,AMARILLO ISD,188901,C,Other Central City,12.0,City-Midsize,N,32829,No,No
29,AMBASSADORS PREPARATORY ACADEMY,84804,I,Charter School Districts,31.0,Town-Fringe,Y,323,No,No
30,AMHERST ISD,140901,H,Rural,42.0,Rural-Distant,N,142,Yes,Yes
31,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,I,Charter School Districts,11.0,City-Large,Y,494,No,No
32,ANAHUAC ISD,36901,D,Other Central City Suburban,42.0,Rural-Distant,N,1325,No,Yes
33,ANDERSON-SHIRO CISD,93901,E,Independent Town,42.0,Rural-Distant,N,879,No,Yes
34,ANDREWS ISD,2901,D,Other Central City Suburban,32.0,Town-Distant,N,4319,No,No
35,ANGLETON ISD,20902,D,Other Central City Suburban,41.0,Rural-Fringe,N,6767,No,No
36,ANNA ISD,43902,F,Non-metropolitan Fast Growing,31.0,Town-Fringe,N,3597,No,No
37,ANSON ISD,127901,H,Rural,42.0,Rural-Distant,N,749,Yes,Yes
38,ANTHONY ISD,71906,H,Rural,21.0,Suburb-Large,N,843,Yes,No
39,ANTON ISD,110901,H,Rural,42.0,Rural-Distant,N,199,Yes,Yes
40,APPLE SPRINGS ISD,228905,H,Rural,42.0,Rural-Distant,N,202,Yes,Yes
41,AQUILLA ISD,109912,H,Rural,42.0,Rural-Distant,N,335,Yes,Yes
42,ARANSAS COUNTY ISD,4901,E,Independent Town,32.0,Town-Distant,N,2829,No,No
43,ARANSAS PASS ISD,205901,D,Other Central City Suburban,31.0,Town-Fringe,N,1556,No,No
44,ARCHER CITY ISD,5901,H,Rural,42.0,Rural-Distant,N,505,Yes,Yes
45,ARGYLE ISD,61910,D,Other Central City Suburban,41.0,Rural-Fringe,N,3061,No,Yes
46,ARISTOI CLASSICAL ACADEMY,101803,I,Charter School Districts,21.0,Suburb-Large,Y,911,No,No
