,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
0,A W BROWN LEADERSHIP ACADEMY,57816,I,Charter School Districts,11,City-Large,Y
1,A+ ACADEMY,57829,I,Charter School Districts,11,City-Large,Y
2,A+ UNLIMITED POTENTIAL,101871,I,Charter School Districts,11,City-Large,Y
3,ABBOTT ISD,109901,H,Rural,42,Rural-Distant,N
4,ABERNATHY ISD,95901,H,Rural,31,Town-Fringe,N
5,ABILENE ISD,221901,C,Other Central City,12,City-Midsize,N
6,ACADEMY FOR ACADEMIC EXCELLENCE,57814,I,Charter School Districts,11,City-Large,Y
7,ACADEMY ISD,14901,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
8,ACADEMY OF ACCELERATED LEARNING IN,101810,I,Charter School Districts,11,City-Large,Y
9,ACADEMY OF DALLAS,57810,I,Charter School Districts,11,City-Large,Y
10,ACCELERATED INTERMEDIATE ACADEMY,101849,I,Charter School Districts,11,City-Large,Y
11,ADRIAN ISD,180903,H,Rural,43,Rural-Remote,N
12,ADVANTAGE ACADEMY,57806,I,Charter School Districts,21,Suburb-Large,Y
13,AGUA DULCE ISD,178901,H,Rural,42,Rural-Distant,N
14,ALAMO HEIGHTS ISD,15901,B,Major Suburban,21,Suburb-Large,N
15,ALBA-GOLDEN ISD,250906,H,Rural,42,Rural-Distant,N
16,ALBANY ISD,209901,H,Rural,43,Rural-Remote,N
17,ALDINE ISD,101902,B,Major Suburban,21,Suburb-Large,N
18,ALEDO ISD,184907,B,Major Suburban,41,Rural-Fringe,N
19,ALICE ISD,125901,E,Independent Town,32,Town-Distant,N
20,ALIEF ISD,101903,B,Major Suburban,11,City-Large,N
21,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,I,Charter School Districts,11,City-Large,Y
22,ALLEN ISD,43901,D,Other Central City Suburban,21,Suburb-Large,N
23,ALPINE ISD,22901,G,Non-metropolitan Stable,33,Town-Remote,N
24,ALTO ISD,37901,H,Rural,42,Rural-Distant,N
25,ALVARADO ISD,126901,D,Other Central City Suburban,41,Rural-Fringe,N
26,ALVIN ISD,20901,B,Major Suburban,21,Suburb-Large,N
27,ALVORD ISD,249901,H,Rural,42,Rural-Distant,N
28,AMARILLO ISD,188901,C,Other Central City,12,City-Midsize,N
29,AMBASSADORS PREPARATORY ACADEMY,84804,I,Charter School Districts,31,Town-Fringe,Y
30,AMHERST ISD,140901,H,Rural,42,Rural-Distant,N
31,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,I,Charter School Districts,11,City-Large,Y
32,ANAHUAC ISD,36901,G,Non-metropolitan Stable,42,Rural-Distant,N
33,ANDERSON-SHIRO CISD,93901,D,Other Central City Suburban,42,Rural-Distant,N
34,ANDREWS ISD,2901,D,Other Central City Suburban,32,Town-Distant,N
35,ANGLETON ISD,20902,D,Other Central City Suburban,41,Rural-Fringe,N
36,ANNA ISD,43902,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
37,ANSON ISD,127901,H,Rural,42,Rural-Distant,N
38,ANTHONY ISD,71906,H,Rural,21,Suburb-Large,N
39,ANTON ISD,110901,H,Rural,42,Rural-Distant,N
40,APPLE SPRINGS ISD,228905,H,Rural,42,Rural-Distant,N
41,AQUILLA ISD,109912,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
42,ARANSAS COUNTY ISD,4901,G,Non-metropolitan Stable,32,Town-Distant,N
43,ARANSAS PASS ISD,205901,D,Other Central City Suburban,31,Town-Fringe,N
44,ARCHER CITY ISD,5901,H,Rural,42,Rural-Distant,N
45,ARGYLE ISD,61910,D,Other Central City Suburban,41,Rural-Fringe,N
46,ARISTOI CLASSICAL ACADEMY,101803,I,Charter School Districts,21,Suburb-Large,Y
47,ARLINGTON CLASSICS ACADEMY,220802,I,Charter School Districts,21,Suburb-Large,Y
48,ARLINGTON ISD,220901,A,Major Urban,11,City-Large,N
49,ARP ISD,212901,H,Rural,42,Rural-Distant,N
50,ARROW ACADEMY,21805,I,Charter School Districts,21,Suburb-Large,Y
51,ASPERMONT ISD,217901,H,Rural,43,Rural-Remote,N
52,ATHENS ISD,107901,E,Independent Town,32,Town-Distant,N
53,ATLANTA ISD,34901,E,Independent Town,41,Rural-Fringe,N
54,AUBREY ISD,61907,G,Non-metropolitan Stable,41,Rural-Fringe,N
55,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,I,Charter School Districts,11,City-Large,Y
56,AUSTIN DISCOVERY SCHOOL,227821,I,Charter School Districts,11,City-Large,Y
57,AUSTIN ISD,227901,A,Major Urban,11,City-Large,N
58,AUSTWELL-TIVOLI ISD,196901,H,Rural,42,Rural-Distant,N
59,AVALON ISD,70901,H,Rural,42,Rural-Distant,N
60,AVERY ISD,194902,H,Rural,43,Rural-Remote,N
61,AVINGER ISD,34902,H,Rural,42,Rural-Distant,N
62,AXTELL ISD,161918,H,Rural,42,Rural-Distant,N
63,AZLE ISD,220915,B,Major Suburban,21,Suburb-Large,N
64,BAIRD ISD,30903,H,Rural,42,Rural-Distant,N
65,BALLINGER ISD,200901,H,Rural,41,Rural-Fringe,N
66,BALMORHEA ISD,195902,H,Rural,43,Rural-Remote,N
67,BANDERA ISD,10902,G,Non-metropolitan Stable,42,Rural-Distant,N
68,BANGS ISD,25901,H,Rural,42,Rural-Distant,N
