DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,DAD_POST,D_RATING,OUTCOME,ASVAB_STATUS
1902,CAYUGA ISD,1,ANDERSON,7,N,N,0,B,Meets Requirements,Not Reported
1903,ELKHART ISD,1,ANDERSON,7,N,N,0,B,Meets Requirements,Meets Requirements
1904,FRANKSTON ISD,1,ANDERSON,7,N,N,0,B,Meets Requirements,Meets Requirements
1906,NECHES ISD,1,ANDERSON,7,N,N,0,B,Meets Requirements,Meets Requirements
1907,PALESTINE ISD,1,ANDERSON,7,N,N,0,B,Needs Intervention,Meets Requirements
1908,WESTWOOD ISD,1,ANDERSON,7,N,N,0,C,Needs Intervention,Meets Requirements
1909,SLOCUM ISD,1,ANDERSON,7,N,N,0,B,Meets Requirements,Meets Requirements
2901,ANDREWS ISD,2,ANDREWS,18,N,N,0,C,Needs Assistance,Not Reported
3801,PINEYWOODS COMMUNITY ACADEMY,3,ANGELINA,7,Y,N,0,A,Meets Requirements,Not Reported
3902,HUDSON ISD,3,ANGELINA,7,N,N,0,A,Meets Requirements,Meets Requirements
3903,LUFKIN ISD,3,ANGELINA,7,N,N,0,B,Meets Requirements,Not Reported
3904,HUNTINGTON ISD,3,ANGELINA,7,N,N,0,B,Meets Requirements,Meets Requirements
3905,DIBOLL ISD,3,ANGELINA,7,N,N,0,B,Meets Requirements,Meets Requirements
3906,ZAVALLA ISD,3,ANGELINA,7,N,N,0,D,Meets Requirements,Not Reported
3907,CENTRAL ISD,3,ANGELINA,7,N,N,1,B,Meets Requirements,Not Reported
4901,ARANSAS COUNTY ISD,4,ARANSAS,2,N,N, ,Not Rated: Harvey Provision,Meets Requirements,Meets Requirements
5901,ARCHER CITY ISD,5,ARCHER,9,N,N,0,A,Meets Requirements,Not Reported
5902,HOLLIDAY ISD,5,ARCHER,9,N,N,0,B,Meets Requirements,Meets Requirements
5904,WINDTHORST ISD,5,ARCHER,9,N,N,0,A,Meets Requirements,Meets Requirements
6902,CLAUDE ISD,6,ARMSTRONG,16,N,N,0,A,Meets Requirements,Not Reported
7901,CHARLOTTE ISD,7,ATASCOSA,20,N,N,0,C,Meets Requirements,Meets Requirements
7902,JOURDANTON ISD,7,ATASCOSA,20,N,N,0,B,Meets Requirements,Meets Requirements
7904,LYTLE ISD,7,ATASCOSA,20,N,N,0,C,Meets Requirements,Meets Requirements
7905,PLEASANTON ISD,7,ATASCOSA,20,N,N,0,C,Meets Requirements,Meets Requirements
7906,POTEET ISD,7,ATASCOSA,20,N,N,0,C,Needs Assistance,Not Reported
8901,BELLVILLE ISD,8,AUSTIN,6,N,N,0,B,Needs Assistance,Meets Requirements
8902,SEALY ISD,8,AUSTIN,6,N,N,0,C,Needs Intervention,Meets Requirements
8903,BRAZOS ISD,8,AUSTIN,6,N,N,0,C,Meets Requirements,Not Reported
9901,MULESHOE ISD,9,BAILEY,17,N,N,0,C,Meets Requirements,Meets Requirements
10901,MEDINA ISD,10,BANDERA,20,N,N, ,Met Standard,Meets Requirements,Meets Requirements
10902,BANDERA ISD,10,BANDERA,20,N,N,0,B,Needs Assistance,Meets Requirements
11901,BASTROP ISD,11,BASTROP,13,N,N,0,C,Needs Assistance,Meets Requirements
11902,ELGIN ISD,11,BASTROP,13,N,N,0,C,Needs Intervention,Meets Requirements
11904,SMITHVILLE ISD,11,BASTROP,13,N,N,0,C,Needs Assistance,Meets Requirements
11905,MCDADE ISD,11,BASTROP,13,N,N, ,B,Meets Requirements,Not Reported
12901,SEYMOUR ISD,12,BAYLOR,9,N,N,0,B,Meets Requirements,Meets Requirements
13801,ST MARY'S ACADEMY CHARTER SCHOOL,13,BEE,2,Y,N, ,Met Standard,Meets Requirements,Meets Requirements
13901,BEEVILLE ISD,13,BEE,2,N,N,0,C,Needs Intervention,Not Reported
13902,PAWNEE ISD,13,BEE,2,N,N, ,Met Standard,Meets Requirements,Meets Requirements
13903,PETTUS ISD,13,BEE,2,N,N,0,C,Meets Requirements,Not Reported
13905,SKIDMORE-TYNAN ISD,13,BEE,2,N,N,0,B,Meets Requirements,Meets Requirements
14801,RICHARD MILBURN ALTER HIGH SCHOOL,14,BELL,20,Y,Y, ,F,Needs Substantial Intervention,Not Reported
14803,PRIORITY CHARTER SCHOOLS,14,BELL,12,Y,N,0,F,Meets Requirements,Not Reported
14804,ORENDA CHARTER SCHOOL,14,BELL,12,Y,N,0,A,Meets Requirements,Meets Requirements
14901,ACADEMY ISD,14,BELL,12,N,N,0,B,Meets Requirements,Meets Requirements
14902,BARTLETT ISD,14,BELL,13,N,N, ,Met Standard,Meets Requirements,Meets Requirements
14903,BELTON ISD,14,BELL,12,N,N,0,B,Meets Requirements,Meets Requirements
14905,HOLLAND ISD,14,BELL,12,N,N,0,B,Meets Requirements,Meets Requirements
14906,KILLEEN ISD,14,BELL,12,N,N,0,C,Needs Assistance,Not Reported
14907,ROGERS ISD,14,BELL,12,N,N,0,B,Meets Requirements,Meets Requirements
14908,SALADO ISD,14,BELL,12,N,N,0,B,Meets Requirements,Meets Requirements
14909,TEMPLE ISD,14,BELL,12,N,N,0,C,Needs Intervention,Meets Requirements
14910,TROY ISD,14,BELL,12,N,N,0,B,Meets Requirements,Meets Requirements
15801,POR VIDA ACADEMY,15,BEXAR,20,Y,Y, ,F,Meets Requirements,Not Reported
15802,GEORGE GERVIN ACADEMY,15,BEXAR,20,Y,N,0,A,Meets Requirements,Not Reported
15805,NEW FRONTIERS PUBLIC SCHOOLS INC,15,BEXAR,20,Y,N, ,D,Meets Requirements,Not Reported
15806,SCHOOL OF EXCELLENCE IN EDUCATION,15,BEXAR,20,Y,N,0,C,Meets Requirements,Meets Requirements
15807,SOUTHWEST PREPARATORY SCHOOL,15,BEXAR,20,Y,Y, ,B,Meets Requirements,Meets Requirements
15808,INSPIRE ACADEMIES,15,BEXAR,20,Y,N, ,C,Meets Requirements,Not Reported
15809,BEXAR COUNTY ACADEMY,15,BEXAR,20,Y,N, ,Improvement Required,Meets Requirements,Meets Requirements
